iter	Passed	Remaining
0	137	137441
1	139	69457
2	140	46645
3	141	35217
4	142	28369
5	143	23851
6	145	20589
7	146	18158
8	147	16260
9	148	14736
10	150	13498
11	151	12499
12	153	11659
13	154	10908
14	156	10252
15	157	9676
16	158	9169
17	160	8731
18	161	8326
19	162	7955
20	163	7630
21	165	7357
22	167	7113
23	169	6882
24	170	6646
25	171	6425
26	172	6219
27	173	6035
28	175	5867
29	176	5701
30	177	5545
31	178	5409
32	181	5306
33	182	5179
34	183	5059
35	184	4943
36	185	4839
37	187	4745
38	188	4648
39	189	4555
40	190	4466
41	193	4407
42	195	4356
43	197	4285
44	198	4214
45	200	4149
46	201	4088
47	202	4022
48	204	3960
49	205	3903
50	207	3857
51	208	3804
52	209	3749
53	210	3695
54	212	3650
55	213	3601
56	214	3556
57	216	3511
58	217	3469
59	218	3430
60	221	3403
61	222	3363
62	223	3325
63	225	3291
64	226	3256
65	227	3221
66	228	3187
67	230	3156
68	233	3144
69	234	3121
70	236	3094
71	237	3065
72	239	3036
73	240	3007
74	241	2982
75	243	2955
76	244	2929
77	248	2934
78	249	2912
79	251	2888
80	252	2863
81	253	2840
82	254	2813
83	256	2794
84	257	2771
85	259	2757
86	261	2749
87	263	2731
88	264	2709
89	265	2688
90	267	2670
91	268	2650
92	269	2631
93	271	2614
94	274	2616
95	277	2610
96	278	2593
97	280	2577
98	281	2561
99	283	2547
100	284	2532
101	285	2517
102	287	2507
103	289	2495
104	291	2480
105	292	2465
106	293	2450
107	295	2438
108	296	2426
109	298	2413
110	300	2403
111	302	2394
112	303	2381
113	304	2367
114	306	2355
115	307	2344
116	309	2332
117	311	2324
118	313	2319
119	315	2310
120	316	2297
121	317	2283
122	318	2270
123	320	2261
124	321	2251
125	323	2241
126	324	2232
127	326	2227
128	328	2217
129	329	2206
130	331	2195
131	366	2411
132	369	2405
133	371	2399
134	374	2400
135	376	2390
136	377	2380
137	380	2373
138	381	2363
139	383	2354
140	386	2353
141	387	2341
142	389	2335
143	409	2431
144	411	2428
145	413	2421
146	415	2411
147	417	2403
148	420	2402
149	422	2395
150	424	2387
151	426	2377
152	427	2368
153	429	2358
154	431	2350
155	434	2351
156	436	2346
157	438	2338
158	440	2330
159	442	2322
160	444	2314
161	447	2313
162	449	2308
163	451	2300
164	452	2292
165	455	2286
166	457	2280
167	458	2271
168	460	2266
169	463	2263
170	465	2254
171	466	2246
172	468	2241
173	470	2234
174	472	2226
175	474	2221
176	476	2215
177	478	2207
178	479	2199
179	481	2195
180	483	2188
181	485	2184
182	488	2181
183	490	2174
184	491	2166
185	493	2161
186	495	2153
187	497	2146
188	499	2144
189	502	2142
190	503	2134
191	505	2127
192	507	2121
193	509	2118
194	511	2113
195	514	2111
196	516	2105
197	518	2098
198	519	2092
199	521	2086
200	523	2081
201	525	2075
202	527	2072
203	529	2067
204	531	2062
205	533	2056
206	535	2050
207	537	2045
208	540	2043
209	542	2040
210	544	2036
211	545	2029
212	547	2023
213	549	2019
214	552	2015
215	554	2013
216	557	2010
217	558	2004
218	560	1999
219	562	1995
220	564	1990
221	567	1987
222	569	1982
223	570	1977
224	572	1972
225	574	1968
226	576	1963
227	579	1960
228	581	1958
229	583	1953
230	585	1948
231	587	1943
232	588	1938
233	590	1934
234	593	1933
235	595	1928
236	597	1923
237	599	1919
238	601	1913
239	603	1909
240	607	1912
241	609	1907
242	610	1902
243	612	1898
244	614	1894
245	616	1889
246	618	1886
247	621	1883
248	623	1879
249	625	1875
250	627	1871
251	628	1866
252	631	1864
253	633	1861
254	635	1856
255	637	1852
256	639	1848
257	641	1846
258	644	1843
259	646	1840
260	648	1836
261	650	1831
262	652	1828
263	654	1824
264	658	1827
265	660	1823
266	662	1819
267	664	1815
268	667	1813
269	669	1810
270	672	1809
271	674	1805
272	676	1801
273	679	1801
274	682	1798
275	685	1797
276	687	1794
277	689	1791
278	692	1788
279	694	1785
280	696	1782
281	699	1780
282	701	1777
283	703	1773
284	706	1772
285	711	1775
286	714	1775
287	717	1773
288	719	1769
289	721	1766
290	726	1769
291	728	1765
292	730	1763
293	733	1760
294	736	1760
295	739	1759
296	741	1756
297	743	1752
298	746	1750
299	748	1746
300	750	1744
301	753	1741
302	755	1737
303	757	1734
304	759	1731
305	762	1729
306	766	1731
307	769	1727
308	771	1725
309	774	1723
310	777	1722
311	780	1720
312	782	1717
313	784	1714
314	787	1712
315	790	1711
316	793	1708
317	795	1705
318	797	1702
319	799	1699
320	802	1697
321	805	1695
